cveid,pub_time,vul_level,source,status,fixed_version,binary,architecture,vul_name,score,vul_category,description,cve_description,utsa_id
CVE-2023-42670,2023-11-03,medium,samba,unaffected,,,"X86,MIPS,ARM",,6.5,,,"A flaw was found in Samba. It is susceptible to a vulnerability where multiple incompatible RPC listeners can be initiated, causing disruptions in the AD DC service. When Samba's RPC server experiences a high load or unresponsiveness, servers intended for non-AD DC purposes (for example, NT4-emulation ""classic DCs"") can erroneously start and compete for the same unix domain sockets. This issue leads to partial query responses from the AD DC, causing issues such as ""The procedure number is out of range"" when using tools like Active Directory Users. This flaw allows an attacker to disrupt AD DC services.",
CVE-2023-3961,2023-11-03,critical,samba,unaffected,,,"X86,MIPS,ARM",,9.8,,,"A path traversal vulnerability was identified in Samba when processing client pipe names connecting to Unix domain sockets within a private directory. Samba typically uses this mechanism to connect SMB clients to remote procedure call (RPC) services like SAMR LSA or SPOOLSS, which Samba initiates on demand. However, due to inadequate sanitization of incoming client pipe names, allowing a client to send a pipe name containing Unix directory traversal characters (../). This could result in SMB clients connecting as root to Unix domain sockets outside the private directory. If an attacker or client managed to send a pipe name resolving to an external service using an existing Unix domain socket, it could potentially lead to unauthorized access to the service and consequential adverse events, including compromise or service crashes.",
CVE-2023-38546,2023-10-17,low,curl,fixed,7.64.1.18-deepin1,,"X86,MIPS,ARM",,3.7,,,"This flaw allows an attacker to insert cookies at will into a running program
using libcurl, if the specific series of conditions are met.

libcurl performs transfers. In its API, an application creates ""easy handles""
that are the individual handles for single transfers.

libcurl provides a function call that duplicates en easy handle called
[curl_easy_duphandle](https://curl.se/libcurl/c/curl_easy_duphandle.html).

If a transfer has cookies enabled when the handle is duplicated, the
cookie-enable state is also cloned - but without cloning the actual
cookies. If the source handle did not read any cookies from a specific file on
disk, the cloned version of the handle would instead store the file name as
`none` (using the four ASCII letters, no quotes).

Subsequent use of the cloned handle that does not explicitly set a source to
load cookies from would then inadvertently load cookies from a file named
`none` - if such a file exists and is readable in the current directory of the
program using libcurl. And if using the correct file format of course.
",UTSA-2023-002926
CVE-2023-38545,2023-10-17,critical,curl,unaffected,,,"X86,MIPS,ARM",,9.8,,,"This flaw makes curl overflow a heap based buffer in the SOCKS5 proxy
handshake.

When curl is asked to pass along the host name to the SOCKS5 proxy to allow
that to resolve the address instead of it getting done by curl itself, the
maximum length that host name can be is 255 bytes.

If the host name is detected to be longer, curl switches to local name
resolving and instead passes on the resolved address only. Due to this bug,
the local variable that means ""let the host resolve the name"" could get the
wrong value during a slow SOCKS5 handshake, and contrary to the intention,
copy the too long host name to the target buffer instead of copying just the
resolved address there.

The target buffer being a heap based buffer, and the host name coming from the
URL that curl has been told to operate with.
",
CVE-2023-4911,2023-10-03,high,glibc,unaffected,,,"X86,MIPS,ARM",,7.8,,,A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,
CVE-2023-4693,2023-10-25,medium,grub2,fixed,2.04.42-18,,"X86,MIPS,ARM",,4.6,,,"An out-of-bounds read flaw was found on grub2's NTFS filesystem driver. This issue may allow a physically present attacker to present a specially crafted NTFS file system image to read arbitrary memory locations. A successful attack allows sensitive data cached in memory or EFI variable values to be leaked, presenting a high Confidentiality risk.",UTSA-2023-003509
CVE-2023-4692,2023-10-25,high,grub2,fixed,2.04.42-18,,"X86,MIPS,ARM",,7.8,,,"An out-of-bounds write flaw was found in grub2's NTFS filesystem driver. This issue may allow an attacker to present a specially crafted NTFS filesystem image, leading to grub's heap metadata corruption. In some circumstances, the attack may also corrupt the UEFI firmware heap metadata. As a result, arbitrary code execution and secure boot protection bypass may be achieved.",UTSA-2023-003510
CVE-2023-43789,2023-10-12,medium,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,MIPS,ARM",,5.5,,,"A vulnerability was found in libXpm where a vulnerability exists due to a boundary condition, a local user can trigger an out-of-bounds read error and read contents of memory on the system.",UTSA-2023-002927
CVE-2023-43788,2023-10-10,medium,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,MIPS,ARM",,5.5,,,A vulnerability was found in libXpm due to a boundary condition within the XpmCreateXpmImageFromBuffer() function. This flaw allows a local attacker to trigger an out-of-bounds read error and read the contents of memory on the system.,UTSA-2023-002928
CVE-2023-43787,2023-10-10,high,libx11,fixed,2:1.6.12.4-deepin1,,"X86,MIPS,ARM",,7.8,,,A vulnerability was found in libX11 due to an integer overflow within the XCreateImage() function. This flaw allows a local user to trigger an integer overflow and execute arbitrary code with elevated privileges.,UTSA-2023-003054
CVE-2023-43787,2023-10-10,high,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,MIPS,ARM",,7.8,,,A vulnerability was found in libX11 due to an integer overflow within the XCreateImage() function. This flaw allows a local user to trigger an integer overflow and execute arbitrary code with elevated privileges.,UTSA-2023-002929
CVE-2023-43786,2023-10-10,medium,libx11,fixed,2:1.6.12.4-deepin1,,"X86,MIPS,ARM",,5.5,,,A vulnerability was found in libX11 due to an infinite loop within the PutSubImage() function. This flaw allows a local user to consume all available system resources and cause a denial of service condition.,UTSA-2023-003055
CVE-2023-43786,2023-10-10,medium,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,MIPS,ARM",,5.5,,,A vulnerability was found in libX11 due to an infinite loop within the PutSubImage() function. This flaw allows a local user to consume all available system resources and cause a denial of service condition.,UTSA-2023-002930
CVE-2023-43785,2023-10-10,medium,libx11,fixed,2:1.6.12.4-deepin1,,"X86,MIPS,ARM",,5.5,,,A vulnerability was found in libX11 due to a boundary condition within the _XkbReadKeySyms() function. This flaw allows a local user to trigger an out-of-bounds read error and read the contents of memory on the system.,UTSA-2023-003056
CVE-2023-44488,2023-09-30,high,libvpx,fixed,1.7.0.3-deepin1,,"X86,MIPS,ARM",,7.5,,,"VP9 in libvpx before 1.13.1 mishandles widths, leading to a crash related to encoding.",UTSA-2023-003057
CVE-2023-5217,2023-09-28,high,libvpx,fixed,1.7.0.3-deepin1,,"X86,MIPS,ARM",,8.8,,,Heap buffer overflow in vp8 encoding in libvpx in Google Chrome prior to 117.0.5938.132 and libvpx 1.13.1 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),UTSA-2023-003058
CVE-2023-5156,2023-09-25,high,glibc,unaffected,,,"X86,MIPS,ARM",,7.5,,,"A flaw was found in the GNU C Library. A recent fix for CVE-2023-4806 introduced the potential for a memory leak, which may result in an application crash.",
CVE-2023-5129,2023-09-25,,libwebp,fixed,0.6.1.5-deepin1,,"X86,MIPS,ARM",,,,,"With a specially crafted WebP lossless file, libwebp may write data out of bounds to the heap.

The ReadHuffmanCodes() function allocates the HuffmanCode buffer with a size that comes from an array of precomputed sizes: kTableSize. The color_cache_bits value defines which size to use.

The kTableSize array only takes into account sizes for 8-bit first-level table lookups but not second-level table lookups. libwebp allows codes that are up to 15-bit (MAX_ALLOWED_CODE_LENGTH). When BuildHuffmanTable() attempts to fill the second-level tables it may write data out-of-bounds. The OOB write to the undersized array happens in ReplicateValue.

",UTSA-2023-002844
CVE-2019-19450,2023-09-20,critical,python-reportlab,fixed,3.5.13.1-deepin1,,"X86,MIPS,ARM",,9.8,,,"paraparser in ReportLab before 3.5.31 allows remote code execution because start_unichar in paraparser.py evaluates untrusted user input in a unichar element in a crafted XML document with '<unichar code=""' followed by arbitrary Python code, a similar issue to CVE-2019-17626.",UTSA-2023-002931
CVE-2023-4504,2023-09-21,high,cups,fixed,2.3.0.8-deepin1,,"X86,MIPS,ARM",,7,,,"Due to failure in validating the length provided by an attacker-crafted PPD PostScript document, CUPS and libppd are susceptible to a heap-based buffer overflow and possibly code execution. This issue has been fixed in CUPS version 2.4.7, released in September of 2023.
",UTSA-2023-002932
CVE-2023-4236,2023-09-20,high,bind9,unaffected,,,"X86,MIPS,ARM",,7.5,,,"A flaw in the networking code handling DNS-over-TLS queries may cause `named` to terminate unexpectedly due to an assertion failure. This happens when internal data structures are incorrectly reused under significant DNS-over-TLS query load.
This issue affects BIND 9 versions 9.18.0 through 9.18.18 and 9.18.11-S1 through 9.18.18-S1.",
CVE-2023-43114,2023-09-18,medium,qt4-x11,unaffected,,,"X86,MIPS,ARM",,5.5,,,"An issue was discovered in Qt before 5.15.16, 6.x before 6.2.10, and 6.3.x through 6.5.x before 6.5.3 on Windows. When using the GDI font engine, if a corrupted font is loaded via QFontDatabase::addApplicationFont{FromData], then it can cause the application to crash because of missing length checks.",
CVE-2023-43114,2023-09-18,medium,qtbase-opensource-src,unaffected,,,"X86,MIPS,ARM",,5.5,,,"An issue was discovered in Qt before 5.15.16, 6.x before 6.2.10, and 6.3.x through 6.5.x before 6.5.3 on Windows. When using the GDI font engine, if a corrupted font is loaded via QFontDatabase::addApplicationFont{FromData], then it can cause the application to crash because of missing length checks.",
CVE-2023-4921,2023-09-12,high,kernel-4.19,fixed,4.19.90-5069,,"X86,MIPS,ARM",,7.8,,,"A use-after-free vulnerability in the Linux kernel's net/sched: sch_qfq component can be exploited to achieve local privilege escalation.

When the plug qdisc is used as a class of the qfq qdisc, sending network packets triggers use-after-free in qfq_dequeue() due to the incorrect .peek handler of sch_plug and lack of error checking in agg_dequeue().

We recommend upgrading past commit 8fc134fee27f2263988ae38920bc03da416b03d8.

",UTSA-2023-002868
CVE-2023-38039,2023-09-14,high,curl,unaffected,,,"X86,MIPS,ARM",,7.5,,,"When curl retrieves an HTTP response, it stores the incoming headers so that
they can be accessed later via the libcurl headers API.

However, curl did not have a limit in how many or how large headers it would
accept in a response, allowing a malicious server to stream an endless series
of headers and eventually cause curl to run out of heap memory.",
CVE-2023-4863,2023-09-12,high,libwebp,fixed,0.6.1.5-deepin1,,"X86,MIPS,ARM",,8.8,,,Heap buffer overflow in libwebp in Google Chrome prior to 116.0.5845.187 and libwebp 1.3.2 allowed a remote attacker to perform an out of bounds memory write via a crafted HTML page. (Chromium security severity: Critical),UTSA-2023-002845
CVE-2023-4527,2023-09-18,medium,glibc,unaffected,,,"X86,MIPS,ARM",,6.5,,,"A flaw was found in glibc. When the getaddrinfo function is called with the AF_UNSPEC address family and the system is configured with no-aaaa mode via /etc/resolv.conf, a DNS response via TCP larger than 2048 bytes can potentially disclose stack contents through the function returned address data, and may cause a crash.",
CVE-2023-4623,2023-09-06,high,kernel-4.19,fixed,4.19.90-5069,,"X86,MIPS,ARM",,7.8,,,"A use-after-free vulnerability in the Linux kernel's net/sched: sch_hfsc (HFSC qdisc traffic control) component can be exploited to achieve local privilege escalation.

If a class with a link-sharing curve (i.e. with the HFSC_FSC flag set) has a parent without a link-sharing curve, then init_vf() will call vttree_insert() on the parent, but vttree_remove() will be skipped in update_vf(). This leaves a dangling pointer that can cause a use-after-free.

We recommend upgrading past commit b3d26c5702c7d6c45456326e56d2ccf3f103e60f.

",UTSA-2023-002869
CVE-2023-4208,2023-09-06,high,kernel-4.19,unaffected,,,"X86,MIPS,ARM",,7.8,,,"A use-after-free vulnerability in the Linux kernel's net/sched: cls_u32 component can be exploited to achieve local privilege escalation.

When u32_change() is called on an existing filter, the whole tcf_result struct is always copied into the new instance of the filter. This causes a problem when updating a filter bound to a class, as tcf_unbind_filter() is always called on the old instance in the success path, decreasing filter_cnt of the still referenced class and allowing it to be deleted, leading to a use-after-free.

We recommend upgrading past commit 3044b16e7c6fe5d24b1cdbcf1bd0a9d92d1ebd81.

",
CVE-2023-4207,2023-09-06,high,kernel-4.19,fixed,4.19.90-5069,,"X86,MIPS,ARM",,7.8,,,"A use-after-free vulnerability in the Linux kernel's net/sched: cls_fw component can be exploited to achieve local privilege escalation.

When fw_change() is called on an existing filter, the whole tcf_result struct is always copied into the new instance of the filter. This causes a problem when updating a filter bound to a class, as tcf_unbind_filter() is always called on the old instance in the success path, decreasing filter_cnt of the still referenced class and allowing it to be deleted, leading to a use-after-free.

We recommend upgrading past commit 76e42ae831991c828cffa8c37736ebfb831ad5ec.

",UTSA-2023-002870
CVE-2023-4206,2023-09-06,high,kernel-4.19,fixed,4.19.90-5069,,"X86,MIPS,ARM",,7.8,,,"A use-after-free vulnerability in the Linux kernel's net/sched: cls_route component can be exploited to achieve local privilege escalation.

When route4_change() is called on an existing filter, the whole tcf_result struct is always copied into the new instance of the filter. This causes a problem when updating a filter bound to a class, as tcf_unbind_filter() is always called on the old instance in the success path, decreasing filter_cnt of the still referenced class and allowing it to be deleted, leading to a use-after-free.

We recommend upgrading past commit b80b829e9e2c1b3f7aae34855e04d8f6ecaf13c8.

",UTSA-2023-002685
CVE-2023-32360,2023-06-23,medium,cups,fixed,2.3.0.9-deepin1,,"X86,MIPS,ARM",,5.5,,,"An authentication issue was addressed with improved state management. This issue is fixed in macOS Big Sur 11.7.7, macOS Monterey 12.6.6, macOS Ventura 13.4. An unauthenticated user may be able to access recently printed documents.",UTSA-2023-003511
CVE-2023-4807,2023-09-08,high,openssl,unaffected,,,"X86,MIPS,ARM",,7.8,,,"Issue summary: The POLY1305 MAC (message authentication code) implementation
contains a bug that might corrupt the internal state of applications on the
Windows 64 platform when running on newer X86_64 processors supporting the
AVX512-IFMA instructions.

Impact summary: If in an application that uses the OpenSSL library an attacker
can influence whether the POLY1305 MAC algorithm is used, the application
state might be corrupted with various application dependent consequences.

The POLY1305 MAC (message authentication code) implementation in OpenSSL does
not save the contents of non-volatile XMM registers on Windows 64 platform
when calculating the MAC of data larger than 64 bytes. Before returning to
the caller all the XMM registers are set to zero rather than restoring their
previous content. The vulnerable code is used only on newer x86_64 processors
supporting the AVX512-IFMA instructions.

The consequences of this kind of internal application state corruption can
be various - from no consequences, if the calling application does not
depend on the contents of non-volatile XMM registers at all, to the worst
consequences, where the attacker could get complete control of the application
process. However given the contents of the registers are just zeroized so
the attacker cannot put arbitrary values inside, the most likely consequence,
if any, would be an incorrect result of some application dependent
calculations or a crash leading to a denial of service.

The POLY1305 MAC algorithm is most frequently used as part of the
CHACHA20-POLY1305 AEAD (authenticated encryption with associated data)
algorithm. The most common usage of this AEAD cipher is with TLS protocol
versions 1.2 and 1.3 and a malicious client can influence whether this AEAD
cipher is used by the server. This implies that server applications using
OpenSSL can be potentially impacted. However we are currently not aware of
any concrete application that would be affected by this issue therefore we
consider this a Low severity security issue.

As a workaround the AVX512-IFMA instructions support can be disabled at
runtime by setting the environment variable OPENSSL_ia32cap:

   OPENSSL_ia32cap=:~0x200000

The FIPS provider is not affected by this issue.",
CVE-2023-4781,2023-09-05,high,vim,fixed,2:8.1.0875.36-deepin1,,"X86,MIPS,ARM",,7.8,,,Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1873.,UTSA-2023-002933
CVE-2023-4752,2023-09-04,high,vim,fixed,2:8.1.0875.36-deepin1,,"X86,MIPS,ARM",,7.8,,,Use After Free in GitHub repository vim/vim prior to 9.0.1858.,UTSA-2023-002934
CVE-2023-4736,2023-09-02,high,vim,unaffected,,,"X86,MIPS,ARM",,7.8,,,Untrusted Search Path in GitHub repository vim/vim prior to 9.0.1833.,
CVE-2023-40589,2023-08-31,high,freerdp2,fixed,2.3.0.1-deepin1,,"X86,MIPS,ARM",,7.5,,,"FreeRDP is a free implementation of the Remote Desktop Protocol (RDP), released under the Apache license. In affected versions there is a Global-Buffer-Overflow in the ncrush_decompress function. Feeding crafted input into this function can trigger the overflow which has only been shown to cause a crash. This issue has been addressed in versions 2.11.0 and 3.0.0-beta3. Users are advised to upgrade. There are no known workarounds for this issue.",UTSA-2023-002935
CVE-2023-40576,2023-08-31,high,freerdp2,unaffected,,,"X86,MIPS,ARM",,7.5,,,"FreeRDP is a free implementation of the Remote Desktop Protocol (RDP), released under the Apache license. Affected versions are subject to an Out-Of-Bounds Read in the `RleDecompress` function. This Out-Of-Bounds Read occurs because FreeRDP processes the `pbSrcBuffer` variable without checking if it contains data of sufficient length. Insufficient data in the `pbSrcBuffer` variable may cause errors or crashes. This issue has been addressed in version 3.0.0-beta3. Users are advised to upgrade. There are no known workarounds for this issue.",
CVE-2023-40575,2023-08-31,critical,freerdp2,unaffected,,,"X86,MIPS,ARM",,9.1,,,"FreeRDP is a free implementation of the Remote Desktop Protocol (RDP), released under the Apache license. Affected versions are subject to an Out-Of-Bounds Read in the `general_YUV444ToRGB_8u_P3AC4R_BGRX` function. This issue is likely down to insufficient data for the `pSrc` variable and results in crashes. This issue has been addressed in version 3.0.0-beta3. Users are advised to upgrade. There are no known workarounds for this issue.",
CVE-2023-40574,2023-08-31,critical,freerdp2,unaffected,,,"X86,MIPS,ARM",,9.8,,,"FreeRDP is a free implementation of the Remote Desktop Protocol (RDP), released under the Apache license. Affected versions are subject to an Out-Of-Bounds Write in the `writePixelBGRX` function. This issue is likely down to incorrect calculations of the `nHeight` and `srcStep` variables. This issue has been addressed in version 3.0.0-beta3. Users are advised to upgrade. There are no known workarounds for this issue.",
