cveid,pub_time,vul_level,source,status,fixed_version,binary,architecture,vul_name,score,vul_category,description,cve_description,utsa_id
CVE-2023-4911,2023-10-03,high,glibc,unaffected,,,"X86,MIPS,ARM",,7.8,,,A buffer overflow was discovered in the GNU C Library's dynamic loader ld.so while processing the GLIBC_TUNABLES environment variable. This issue could allow a local attacker to use maliciously crafted GLIBC_TUNABLES environment variables when launching binaries with SUID permission to execute code with elevated privileges.,
CVE-2023-4693,2023-10-25,medium,grub2,fixed,2.04.42-18,,"X86,SW,MIPS,Loongarch,ARM",,4.6,,,"An out-of-bounds read flaw was found on grub2's NTFS filesystem driver. This issue may allow a physically present attacker to present a specially crafted NTFS file system image to read arbitrary memory locations. A successful attack allows sensitive data cached in memory or EFI variable values to be leaked, presenting a high Confidentiality risk.",UTSA-2023-003078
CVE-2023-4692,2023-10-25,high,grub2,fixed,2.04.42-18,,"X86,SW,MIPS,Loongarch,ARM",,7.8,,,"An out-of-bounds write flaw was found in grub2's NTFS filesystem driver. This issue may allow an attacker to present a specially crafted NTFS filesystem image, leading to grub's heap metadata corruption. In some circumstances, the attack may also corrupt the UEFI firmware heap metadata. As a result, arbitrary code execution and secure boot protection bypass may be achieved.",UTSA-2023-003079
CVE-2023-43789,2023-10-12,medium,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,MIPS,ARM",,5.5,,,"A vulnerability was found in libXpm where a vulnerability exists due to a boundary condition, a local user can trigger an out-of-bounds read error and read contents of memory on the system.",UTSA-2023-003041
CVE-2023-43788,2023-10-10,medium,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,5.5,,,A vulnerability was found in libXpm due to a boundary condition within the XpmCreateXpmImageFromBuffer() function. This flaw allows a local attacker to trigger an out-of-bounds read error and read the contents of memory on the system.,UTSA-2023-003042
CVE-2023-43787,2023-10-10,high,libx11,fixed,2:1.6.12.4-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,7.8,,,A vulnerability was found in libX11 due to an integer overflow within the XCreateImage() function. This flaw allows a local user to trigger an integer overflow and execute arbitrary code with elevated privileges.,UTSA-2023-003043
CVE-2023-43787,2023-10-10,high,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,7.8,,,A vulnerability was found in libX11 due to an integer overflow within the XCreateImage() function. This flaw allows a local user to trigger an integer overflow and execute arbitrary code with elevated privileges.,UTSA-2023-003044
CVE-2023-43786,2023-10-10,medium,libx11,fixed,2:1.6.12.4-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,5.5,,,A vulnerability was found in libX11 due to an infinite loop within the PutSubImage() function. This flaw allows a local user to consume all available system resources and cause a denial of service condition.,UTSA-2023-003045
CVE-2023-43786,2023-10-10,medium,libxpm,fixed,1:3.5.12.3-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,5.5,,,A vulnerability was found in libX11 due to an infinite loop within the PutSubImage() function. This flaw allows a local user to consume all available system resources and cause a denial of service condition.,UTSA-2023-003046
CVE-2023-43785,2023-10-10,medium,libx11,fixed,2:1.6.12.4-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,5.5,,,A vulnerability was found in libX11 due to a boundary condition within the _XkbReadKeySyms() function. This flaw allows a local user to trigger an out-of-bounds read error and read the contents of memory on the system.,UTSA-2023-003047
CVE-2023-44488,2023-09-30,high,libvpx,fixed,1.7.0.3-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,7.5,,,"VP9 in libvpx before 1.13.1 mishandles widths, leading to a crash related to encoding.",UTSA-2023-003048
CVE-2023-5217,2023-09-28,high,libvpx,fixed,1.7.0.3-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,8.8,,,Heap buffer overflow in vp8 encoding in libvpx in Google Chrome prior to 117.0.5938.132 and libvpx 1.13.1 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page. (Chromium security severity: High),UTSA-2023-003049
CVE-2023-5129,2023-09-25,,libwebp,fixed,0.6.1.5-deepin1,,"X86,MIPS,ARM",,,,,"With a specially crafted WebP lossless file, libwebp may write data out of bounds to the heap.

The ReadHuffmanCodes() function allocates the HuffmanCode buffer with a size that comes from an array of precomputed sizes: kTableSize. The color_cache_bits value defines which size to use.

The kTableSize array only takes into account sizes for 8-bit first-level table lookups but not second-level table lookups. libwebp allows codes that are up to 15-bit (MAX_ALLOWED_CODE_LENGTH). When BuildHuffmanTable() attempts to fill the second-level tables it may write data out-of-bounds. The OOB write to the undersized array happens in ReplicateValue.

",UTSA-2023-002905
CVE-2019-19450,2023-09-20,critical,python-reportlab,fixed,3.5.13.1-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,9.8,,,"paraparser in ReportLab before 3.5.31 allows remote code execution because start_unichar in paraparser.py evaluates untrusted user input in a unichar element in a crafted XML document with '<unichar code=""' followed by arbitrary Python code, a similar issue to CVE-2019-17626.",UTSA-2023-003050
CVE-2023-4504,2023-09-21,high,cups,fixed,2.3.0.8-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,7,,,"Due to failure in validating the length provided by an attacker-crafted PPD PostScript document, CUPS and libppd are susceptible to a heap-based buffer overflow and possibly code execution. This issue has been fixed in CUPS version 2.4.7, released in September of 2023.
",UTSA-2023-002906
CVE-2023-38039,2023-09-14,high,curl,unaffected,,,"X86,MIPS,ARM",,7.5,,,"When curl retrieves an HTTP response, it stores the incoming headers so that
they can be accessed later via the libcurl headers API.

However, curl did not have a limit in how many or how large headers it would
accept in a response, allowing a malicious server to stream an endless series
of headers and eventually cause curl to run out of heap memory.",
CVE-2023-4863,2023-09-12,high,libwebp,fixed,0.6.1.5-deepin1,,"X86,MIPS,ARM",,8.8,,,Heap buffer overflow in libwebp in Google Chrome prior to 116.0.5845.187 and libwebp 1.3.2 allowed a remote attacker to perform an out of bounds memory write via a crafted HTML page. (Chromium security severity: Critical),UTSA-2023-002907
CVE-2023-4208,2023-09-06,high,kernel-4.19,unaffected,,,"X86,MIPS,ARM",,7.8,,,"A use-after-free vulnerability in the Linux kernel's net/sched: cls_u32 component can be exploited to achieve local privilege escalation.

When u32_change() is called on an existing filter, the whole tcf_result struct is always copied into the new instance of the filter. This causes a problem when updating a filter bound to a class, as tcf_unbind_filter() is always called on the old instance in the success path, decreasing filter_cnt of the still referenced class and allowing it to be deleted, leading to a use-after-free.

We recommend upgrading past commit 3044b16e7c6fe5d24b1cdbcf1bd0a9d92d1ebd81.

",
CVE-2023-4807,2023-09-08,high,openssl,unaffected,,,"X86,MIPS,ARM",,7.8,,,"Issue summary: The POLY1305 MAC (message authentication code) implementation
contains a bug that might corrupt the internal state of applications on the
Windows 64 platform when running on newer X86_64 processors supporting the
AVX512-IFMA instructions.

Impact summary: If in an application that uses the OpenSSL library an attacker
can influence whether the POLY1305 MAC algorithm is used, the application
state might be corrupted with various application dependent consequences.

The POLY1305 MAC (message authentication code) implementation in OpenSSL does
not save the contents of non-volatile XMM registers on Windows 64 platform
when calculating the MAC of data larger than 64 bytes. Before returning to
the caller all the XMM registers are set to zero rather than restoring their
previous content. The vulnerable code is used only on newer x86_64 processors
supporting the AVX512-IFMA instructions.

The consequences of this kind of internal application state corruption can
be various - from no consequences, if the calling application does not
depend on the contents of non-volatile XMM registers at all, to the worst
consequences, where the attacker could get complete control of the application
process. However given the contents of the registers are just zeroized so
the attacker cannot put arbitrary values inside, the most likely consequence,
if any, would be an incorrect result of some application dependent
calculations or a crash leading to a denial of service.

The POLY1305 MAC algorithm is most frequently used as part of the
CHACHA20-POLY1305 AEAD (authenticated encryption with associated data)
algorithm. The most common usage of this AEAD cipher is with TLS protocol
versions 1.2 and 1.3 and a malicious client can influence whether this AEAD
cipher is used by the server. This implies that server applications using
OpenSSL can be potentially impacted. However we are currently not aware of
any concrete application that would be affected by this issue therefore we
consider this a Low severity security issue.

As a workaround the AVX512-IFMA instructions support can be disabled at
runtime by setting the environment variable OPENSSL_ia32cap:

   OPENSSL_ia32cap=:~0x200000

The FIPS provider is not affected by this issue.",
CVE-2023-4781,2023-09-05,high,vim,fixed,2:8.1.0875.36-deepin1,,"X86,MIPS,ARM",,7.8,,,Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1873.,UTSA-2023-002908
CVE-2023-4752,2023-09-04,high,vim,fixed,2:8.1.0875.36-deepin1,,"X86,MIPS,ARM",,7.8,,,Use After Free in GitHub repository vim/vim prior to 9.0.1858.,UTSA-2023-002909
CVE-2023-4736,2023-09-02,high,vim,unaffected,,,"X86,MIPS,ARM",,7.8,,,Untrusted Search Path in GitHub repository vim/vim prior to 9.0.1833.,
CVE-2023-20900,2023-08-31,high,open-vm-tools,fixed,2:10.3.10.3-deepin1,,"X86,MIPS,ARM",,7.5,,,A malicious actor that has been granted  Guest Operation Privileges https://docs.vmware.com/en/VMware-vSphere/8.0/vsphere-security/GUID-6A952214-0E5E-4CCF-9D2A-90948FF643EC.html  in a target virtual machine may be able to elevate their privileges if that target virtual machine has been assigned a more privileged  Guest Alias https://vdc-download.vmware.com/vmwb-repository/dcr-public/d1902b0e-d479-46bf-8ac9-cee0e31e8ec0/07ce8dbd-db48-4261-9b8f-c6d3ad8ba472/vim.vm.guest.AliasManager.html .,UTSA-2023-002910
CVE-2020-19189,2023-08-22,medium,ncurses,fixed,6.1.3-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,6.5,,,Buffer Overflow vulnerability in postprocess_terminfo function in tinfo/parse_entry.c:997 in ncurses 6.1 allows remote attackers to cause a denial of service via crafted command.,UTSA-2023-003051
CVE-2020-22217,2023-08-22,medium,c-ares,fixed,1.14.0.5-deepin1,,"X86,MIPS,ARM",,5.9,,,Buffer overflow vulnerability in c-ares before 1_16_1 thru 1_17_0 via function ares_parse_soa_reply in ares_parse_soa_reply.c.,UTSA-2023-002911
CVE-2020-21890,2023-08-22,high,ghostscript,fixed,9.27~dfsg.9-deepin1,,"X86,MIPS,ARM",,7.8,,,Buffer Overflow vulnerability in clj_media_size function in devices/gdevclj.c in Artifex Ghostscript 9.50 allows remote attackers to cause a denial of service or other unspecified impact(s) via opening of crafted PDF document.,UTSA-2023-002912
CVE-2020-21710,2023-08-22,medium,ghostscript,fixed,9.27~dfsg.9-deepin1,,"X86,MIPS,ARM",,5.5,,,A divide by zero issue discovered in eps_print_page in gdevepsn.c in Artifex Software GhostScript 9.50 allows remote attackers to cause a denial of service via opening of crafted PDF file.,UTSA-2023-002913
CVE-2020-21583,2023-08-22,medium,util-linux,fixed,2.33.1.2-1+dde,,"X86,MIPS,ARM",,6.7,,,An issue was discovered in hwclock.13-v2.27 allows attackers to gain escalated privlidges or execute arbitrary commands via the path parameter when setting the date.,UTSA-2023-002334
CVE-2020-21047,2023-08-22,medium,elfutils,fixed,0.176.4-deepin1,,"X86,MIPS,ARM",,5.5,,,"The libcpu component which is used by libasm of elfutils version 0.177 (git 47780c9e), suffers from denial-of-service vulnerability caused by application crashes due to out-of-bounds write (CWE-787), off-by-one error (CWE-193) and reachable assertion (CWE-617); to exploit the vulnerability, the attackers need to craft certain ELF files which bypass the missing bound checks.",UTSA-2023-002914
CVE-2023-40477,2023-08-14,,rar,fixed,2:6.23-1~deb10u1,,"X86,MIPS,ARM",,,,,"** RESERVED ** This candidate has been reserved by an organization or individual that will use it when announcing a new security problem. When the candidate has been publicized, the details for this candidate will be provided.",UTSA-2023-002378
CVE-2023-4042,2023-08-23,medium,ghostscript,unaffected,,,"X86,MIPS,ARM",,5.5,,,A flaw was found in ghostscript. The fix for CVE-2020-16305 in ghostscript was not included in RHSA-2021:1852-06 advisory as it was claimed to be. This issue only affects the ghostscript package as shipped with Red Hat Enterprise Linux 8.,
CVE-2023-40217,2023-08-24,medium,python2.7,fixed,2.7.16.12-deepin1,,"X86,MIPS,ARM",,5.3,,,"An issue was discovered in Python before 3.8.18, 3.9.x before 3.9.18, 3.10.x before 3.10.13, and 3.11.x before 3.11.5. It primarily affects servers (such as HTTP servers) that use TLS client authentication. If a TLS server-side socket is created, receives data into the socket buffer, and then is closed quickly, there is a brief window where the SSLSocket instance will detect the socket as ""not connected"" and won't initiate a handshake, but buffered data will still be readable from the socket buffer. This data will not be authenticated if the server-side TLS peer is expecting client certificate authentication, and is indistinguishable from valid TLS stream data. Data is limited in size to the amount that will fit in the buffer. (The TLS connection cannot directly be used for data exfiltration because the vulnerable code path requires that the connection be closed on initialization of the SSLSocket.)",UTSA-2023-002819
CVE-2023-40217,2023-08-24,medium,python3.7,fixed,3.7.3.15-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,5.3,,,"An issue was discovered in Python before 3.8.18, 3.9.x before 3.9.18, 3.10.x before 3.10.13, and 3.11.x before 3.11.5. It primarily affects servers (such as HTTP servers) that use TLS client authentication. If a TLS server-side socket is created, receives data into the socket buffer, and then is closed quickly, there is a brief window where the SSLSocket instance will detect the socket as ""not connected"" and won't initiate a handshake, but buffered data will still be readable from the socket buffer. This data will not be authenticated if the server-side TLS peer is expecting client certificate authentication, and is indistinguishable from valid TLS stream data. Data is limited in size to the amount that will fit in the buffer. (The TLS connection cannot directly be used for data exfiltration because the vulnerable code path requires that the connection be closed on initialization of the SSLSocket.)",UTSA-2023-003002
CVE-2021-40211,2023-08-22,high,imagemagick,fixed,8:6.9.10.23.12-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,7.5,,,An issue was discovered with ImageMagick 7.1.0-4 via Division by zero in function ReadEnhMetaFile of coders/emf.c.,UTSA-2023-002867
CVE-2020-22219,2023-08-22,high,flac,fixed,1.3.2.3-deepin1,,"X86,MIPS,ARM",,7.8,,,Buffer Overflow vulnerability in function bitwriter_grow_ in flac before 1.4.0 allows remote attackers to run arbitrary code via crafted input to the encoder.,UTSA-2023-002915
CVE-2023-41105,2023-08-23,high,python2.7,unaffected,,,"X86,MIPS,ARM",,7.5,,,"An issue was discovered in Python 3.11 through 3.11.4. If a path containing '\0' bytes is passed to os.path.normpath(), the path will be truncated unexpectedly at the first '\0' byte. There are plausible cases in which an application would have rejected a filename for security reasons in Python 3.10.x or earlier, but that filename is no longer rejected in Python 3.11.x.",
CVE-2023-41105,2023-08-23,high,python3.7,unaffected,,,"X86,MIPS,ARM",,7.5,,,"An issue was discovered in Python 3.11 through 3.11.4. If a path containing '\0' bytes is passed to os.path.normpath(), the path will be truncated unexpectedly at the first '\0' byte. There are plausible cases in which an application would have rejected a filename for security reasons in Python 3.10.x or earlier, but that filename is no longer rejected in Python 3.11.x.",
CVE-2022-48566,2023-08-22,medium,python2.7,fixed,2.7.16.12-deepin1,,"X86,MIPS,ARM",,5.9,,,An issue was discovered in compare_digest in Lib/hmac.py in Python through 3.9.1. Constant-time-defeating optimisations were possible in the accumulator variable in hmac.compare_digest.,UTSA-2023-002820
CVE-2022-48565,2023-08-22,critical,python2.7,fixed,2.7.16.12-deepin1,,"X86,MIPS,ARM",,9.8,,,An XML External Entity (XXE) issue was discovered in Python through 3.9.1. The plistlib module no longer accepts entity declarations in XML plist files to avoid XML vulnerabilities.,UTSA-2023-002821
CVE-2022-48564,2023-08-22,medium,python2.7,unaffected,,,"X86,MIPS,ARM",,6.5,,,read_ints in plistlib.py in Python through 3.9.1 is vulnerable to a potential DoS attack via CPU and RAM exhaustion when processing malformed Apple Property List files in binary format.,
CVE-2022-48560,2023-08-22,high,python2.7,fixed,2.7.16.12-deepin1,,"X86,MIPS,ARM",,7.5,,,A use-after-free exists in Python through 3.9 via heappushpop in heapq.,UTSA-2023-002822
CVE-2022-48522,2023-08-22,critical,perl,unaffected,,,"X86,MIPS,ARM",,9.8,,,"In Perl 5.34.0, function S_find_uninit_var in sv.c has a stack-based crash that can lead to remote code execution or local privilege escalation.",
UT-2023-0010,2023-08-17,high,ffmpeg,fixed,7:4.1.9.13-deepin13,['ffmpeg'],"X86,SW,MIPS,Loongarch,ARM",,7.5,,UOS视频组件ffmpeg，打开恶意的文件后，程序出现异常崩溃,,UTSA-2023-002389
UT-2023-0009,2023-08-17,high,freeimage,fixed,3.18.0+ds2.1+dde3-1,['freeimage'],"X86,MIPS,ARM",,7.5,,UOS图片加载组件deepin-image-viewer打开恶意的文件后，程序出现异常崩溃。,,UTSA-2023-002388
UT-2023-0008,2023-08-17,high,deepin-defender,fixed,4.8.7,['deepin-defender'],"X86,MIPS,ARM",,7.8,,UOS桌面专业版安全中心deepin-defender存在命令注入漏洞，攻击者可利用漏洞将普通用户权限提升至root权限。,,UTSA-2023-002408
CVE-2022-48566,2023-08-22,medium,python3.7,fixed,3.7.3.15-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,5.9,,,An issue was discovered in compare_digest in Lib/hmac.py in Python through 3.9.1. Constant-time-defeating optimisations were possible in the accumulator variable in hmac.compare_digest.,UTSA-2023-002925
CVE-2022-48565,2023-08-22,critical,python3.7,fixed,3.7.3.15-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,9.8,,,An XML External Entity (XXE) issue was discovered in Python through 3.9.1. The plistlib module no longer accepts entity declarations in XML plist files to avoid XML vulnerabilities.,UTSA-2023-003003
CVE-2022-48564,2023-08-22,medium,python3.7,fixed,3.7.3.15-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,6.5,,,read_ints in plistlib.py in Python through 3.9.1 is vulnerable to a potential DoS attack via CPU and RAM exhaustion when processing malformed Apple Property List files in binary format.,UTSA-2023-003004
CVE-2022-48560,2023-08-22,high,python3.7,fixed,3.7.3.15-deepin1,,"X86,SW,MIPS,Loongarch,ARM",,7.5,,,A use-after-free exists in Python through 3.9 via heappushpop in heapq.,UTSA-2023-003005
CVE-2022-48554,2023-08-22,medium,file,unaffected,,,"X86,MIPS,ARM",,5.5,,,"File before 5.43 has an stack-based buffer over-read in file_copystr in funcs.c. NOTE: ""File"" is the name of an Open Source project.",
CVE-2023-38898,2023-08-15,medium,python2.7,unaffected,,,"X86,MIPS,ARM",,5.3,,,"An issue in Python cpython v.3.7 allows an attacker to obtain sensitive information via the _asyncio._swap_current_task component. NOTE: this is disputed by the vendor because (1) neither 3.7 nor any other release is affected (it is a bug in some 3.12 pre-releases); (2) there are no common scenarios in which an adversary can call _asyncio._swap_current_task but does not already have the ability to call arbitrary functions; and (3) there are no common scenarios in which sensitive information, which is not already accessible to an adversary, becomes accessible through this bug.",
CVE-2023-38898,2023-08-15,medium,python3.7,unaffected,,,"X86,MIPS,ARM",,5.3,,,"An issue in Python cpython v.3.7 allows an attacker to obtain sensitive information via the _asyncio._swap_current_task component. NOTE: this is disputed by the vendor because (1) neither 3.7 nor any other release is affected (it is a bug in some 3.12 pre-releases); (2) there are no common scenarios in which an adversary can call _asyncio._swap_current_task but does not already have the ability to call arbitrary functions; and (3) there are no common scenarios in which sensitive information, which is not already accessible to an adversary, becomes accessible through this bug.",
UT-2023-0006,2023-08-16,critical,deepin-mobile-assistant,fixed,1.12.0.0056,['deepin-mobile-assistant'],"X86,MIPS,ARM",,9.8,,统信UOS桌面专业版1050的统信uos助手监听端口服务中，其文件上传服务存在目录穿越漏洞，实现远程任意文件写，攻击者可写入.bashrc文件实现远程命令执行。,,UTSA-2023-002387
CVE-2021-28429,2023-08-11,medium,ffmpeg,fixed,7:4.1.9-0+deb10u1,,"X86,MIPS,ARM",,5.5,,,"Integer overflow vulnerability in av_timecode_make_string in libavutil/timecode.c in FFmpeg version 4.3.2, allows local attackers to cause a denial of service (DoS) via crafted .mov file.",UTSA-2023-001928
CVE-2020-36138,2023-08-11,high,ffmpeg,unaffected,,,"X86,MIPS,ARM",,7.5,,,"An issue was discovered in decode_frame in libavcodec/tiff.c in FFmpeg version 4.3, allows remote attackers to cause a denial of service (DoS).",
CVE-2020-36024,2023-08-11,medium,poppler,fixed,0.71.0.5-1+deepin1,,"X86,MIPS,ARM",,5.5,,,"An issue was discovered in freedesktop poppler version 20.12.1, allows remote attackers to cause a denial of service (DoS) via crafted .pdf file to FoFiType1C::convertToType1 function.",UTSA-2023-002916
CVE-2020-36023,2023-08-11,medium,poppler,fixed,0.71.0.5-1+deepin1,,"X86,MIPS,ARM",,6.5,,,"An issue was discovered in freedesktop poppler version 20.12.1, allows remote attackers to cause a denial of service (DoS) via crafted .pdf file to FoFiType1C::cvtGlyph function.",UTSA-2023-002917
CVE-2023-39978,2023-08-08,low,imagemagick,unaffected,,,"X86,MIPS,ARM",,3.3,,,ImageMagick before 6.9.12-91 allows attackers to cause a denial of service (memory consumption) in Magick::Draw.,
CVE-2023-23908,2023-08-10,medium,intel-microcode,fixed,3.20230808.1~deb10u1,,"X86,MIPS,ARM",,4.4,,,Improper access control in some 3rd Generation Intel(R) Xeon(R) Scalable processors may allow a privileged user to potentially enable information disclosure via local access.,UTSA-2023-002379
